id,identifier,pokemon_id,step_id,evolved_species_id,evolution_chain_id,is_split,evolution_trigger_id,regional,trigger_item_id,minimum_level,gender_id,location_id,held_item_id,time_of_day,known_move_id,known_move_type_id,minimum_happiness,minimum_beauty,minimum_affection,relative_physical_stats,party_species_id,party_type_id,trade_species_id,needs_overworld_rain,turn_upside_down
653,stunfisk,618,0,618,313,0,,,,,,,,,,,,,,,,,,,
654,mienfoo,619,0,619,314,0,,,,,,,,,,,,,,,,,,,
655,mienshao,620,1,620,314,0,1.0,,,50.0,,,,,,,,,,,,,,0.0,0.0
656,druddigon,621,0,621,315,0,,,,,,,,,,,,,,,,,,,
657,golett,622,0,622,316,0,,,,,,,,,,,,,,,,,,,
658,golurk,623,1,623,316,0,1.0,,,43.0,,,,,,,,,,,,,,0.0,0.0
659,pawniard,624,0,624,317,0,,,,,,,,,,,,,,,,,,,
660,bisharp,625,1,625,317,0,1.0,,,52.0,,,,,,,,,,,,,,0.0,0.0
661,kingambit,983,2,983,317,0,10.0,,,,,,,,,,,,,,,,,0.0,0.0
662,bouffalant,626,0,626,318,0,,,,,,,,,,,,,,,,,,,
663,rufflet,627,0,627,319,0,,,,,,,,,,,,,,,,,,,
664,braviary,628,1,628,319,0,1.0,,,54.0,,,,,,,,,,,,,,0.0,0.0
665,braviary-hisui,10240,1,628,319,0,1.0,hisui,,54.0,,,,,,,,,,,,,,0.0,0.0
666,vullaby,629,0,629,320,0,,,,,,,,,,,,,,,,,,,
667,mandibuzz,630,1,630,320,0,1.0,,,54.0,,,,,,,,,,,,,,0.0,0.0
668,heatmor,631,0,631,321,0,,,,,,,,,,,,,,,,,,,
669,durant,632,0,632,322,0,,,,,,,,,,,,,,,,,,,
670,deino,633,0,633,323,0,,,,,,,,,,,,,,,,,,,
671,zweilous,634,1,634,323,0,1.0,,,50.0,,,,,,,,,,,,,,0.0,0.0
672,hydreigon,635,2,635,323,0,1.0,,,64.0,,,,,,,,,,,,,,0.0,0.0
673,larvesta,636,0,636,324,0,,,,,,,,,,,,,,,,,,,
674,volcarona,637,1,637,324,0,1.0,,,59.0,,,,,,,,,,,,,,0.0,0.0
675,cobalion,638,0,638,325,0,,,,,,,,,,,,,,,,,,,
676,terrakion,639,0,639,326,0,,,,,,,,,,,,,,,,,,,
677,virizion,640,0,640,327,0,,,,,,,,,,,,,,,,,,,
678,tornadus-incarnate,641,0,641,328,0,,,,,,,,,,,,,,,,,,,
679,tornadus-therian,10019,0,641,328,0,,,,,,,,,,,,,,,,,,,
680,thundurus-incarnate,642,0,642,329,0,,,,,,,,,,,,,,,,,,,
681,thundurus-therian,10020,0,642,329,0,,,,,,,,,,,,,,,,,,,
682,reshiram,643,0,643,330,0,,,,,,,,,,,,,,,,,,,
683,zekrom,644,0,644,331,0,,,,,,,,,,,,,,,,,,,
684,landorus-incarnate,645,0,645,332,0,,,,,,,,,,,,,,,,,,,
685,landorus-therian,10021,0,645,332,0,,,,,,,,,,,,,,,,,,,
686,kyurem,646,0,646,333,0,,,,,,,,,,,,,,,,,,,
687,kyurem-black,10022,0,646,333,0,,,,,,,,,,,,,,,,,,,
688,kyurem-white,10023,0,646,333,0,,,,,,,,,,,,,,,,,,,
689,keldeo-ordinary,647,0,647,334,0,,,,,,,,,,,,,,,,,,,
690,keldeo-resolute,10024,0,647,334,0,,,,,,,,,,,,,,,,,,,
691,meloetta-aria,648,0,648,335,0,,,,,,,,,,,,,,,,,,,
692,meloetta-pirouette,10018,0,648,335,0,,,,,,,,,,,,,,,,,,,
693,genesect,649,0,649,336,0,,,,,,,,,,,,,,,,,,,
694,chespin,650,0,650,337,0,,,,,,,,,,,,,,,,,,,
695,quilladin,651,1,651,337,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
696,chesnaught,652,2,652,337,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
697,fennekin,653,0,653,338,0,,,,,,,,,,,,,,,,,,,
698,braixen,654,1,654,338,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
699,delphox,655,2,655,338,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
700,froakie,656,0,656,339,0,,,,,,,,,,,,,,,,,,,
701,frogadier,657,1,657,339,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
702,greninja-battle-bond,10116,2,658,339,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
703,greninja-ash,10117,2,658,339,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
704,bunnelby,659,0,659,340,0,,,,,,,,,,,,,,,,,,,
705,diggersby,660,1,660,340,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
706,fletchling,661,0,661,341,0,,,,,,,,,,,,,,,,,,,
707,fletchinder,662,1,662,341,0,1.0,,,17.0,,,,,,,,,,,,,,0.0,0.0
708,talonflame,663,2,663,341,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
709,scatterbug,664,0,664,342,0,,,,,,,,,,,,,,,,,,,
710,spewpa,665,1,665,342,0,1.0,,,9.0,,,,,,,,,,,,,,0.0,0.0
711,vivillon,666,2,666,342,0,1.0,,,12.0,,,,,,,,,,,,,,0.0,0.0
712,litleo,667,0,667,343,0,,,,,,,,,,,,,,,,,,,
713,pyroar,668,1,668,343,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
714,flabebe,669,0,669,344,0,,,,,,,,,,,,,,,,,,,
715,floette,670,1,670,344,0,1.0,,,19.0,,,,,,,,,,,,,,0.0,0.0
716,floette-eternal,10061,1,670,344,0,1.0,,,19.0,,,,,,,,,,,,,,0.0,0.0
717,florges,671,2,671,344,0,3.0,,107.0,,,,,,,,,,,,,,,0.0,0.0
718,skiddo,672,0,672,345,0,,,,,,,,,,,,,,,,,,,
719,gogoat,673,1,673,345,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
720,pancham,674,0,674,346,0,,,,,,,,,,,,,,,,,,,
721,pangoro,675,1,675,346,0,1.0,,,32.0,,,,,,,,,,,,17.0,,0.0,0.0
722,furfrou,676,0,676,347,0,,,,,,,,,,,,,,,,,,,
723,espurr,677,0,677,348,0,,,,,,,,,,,,,,,,,,,
724,meowstic-male,678,1,678,348,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
725,meowstic-female,10025,1,678,348,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
726,honedge,679,0,679,349,0,,,,,,,,,,,,,,,,,,,
727,doublade,680,1,680,349,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
728,aegislash-shield,681,2,681,349,0,3.0,,108.0,,,,,,,,,,,,,,,0.0,0.0
729,aegislash-blade,10026,2,681,349,0,3.0,,108.0,,,,,,,,,,,,,,,0.0,0.0
730,spritzee,682,0,682,350,0,,,,,,,,,,,,,,,,,,,
731,aromatisse,683,1,683,350,0,2.0,,,,,,687.0,,,,,,,,,,,0.0,0.0
732,swirlix,684,0,684,351,0,,,,,,,,,,,,,,,,,,,
733,slurpuff,685,1,685,351,0,2.0,,,,,,686.0,,,,,,,,,,,0.0,0.0
734,inkay,686,0,686,352,0,,,,,,,,,,,,,,,,,,,
735,malamar,687,1,687,352,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,1.0
736,binacle,688,0,688,353,0,,,,,,,,,,,,,,,,,,,
737,barbaracle,689,1,689,353,0,1.0,,,39.0,,,,,,,,,,,,,,0.0,0.0
738,skrelp,690,0,690,354,0,,,,,,,,,,,,,,,,,,,
739,dragalge,691,1,691,354,0,1.0,,,48.0,,,,,,,,,,,,,,0.0,0.0
740,clauncher,692,0,692,355,0,,,,,,,,,,,,,,,,,,,
741,clawitzer,693,1,693,355,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
742,helioptile,694,0,694,356,0,,,,,,,,,,,,,,,,,,,
743,heliolisk,695,1,695,356,0,3.0,,80.0,,,,,,,,,,,,,,,0.0,0.0
744,tyrunt,696,0,696,357,0,,,,,,,,,,,,,,,,,,,
745,tyrantrum,697,1,697,357,0,1.0,,,39.0,,,,day,,,,,,,,,,0.0,0.0
746,amaura,698,0,698,358,0,,,,,,,,,,,,,,,,,,,
747,aurorus,699,1,699,358,0,1.0,,,39.0,,,,night,,,,,,,,,,0.0,0.0
748,hawlucha,701,0,701,359,0,,,,,,,,,,,,,,,,,,,
749,dedenne,702,0,702,360,0,,,,,,,,,,,,,,,,,,,
750,carbink,703,0,703,361,0,,,,,,,,,,,,,,,,,,,
751,goomy,704,0,704,362,0,,,,,,,,,,,,,,,,,,,
752,sliggoo,705,1,705,362,0,1.0,,,40.0,,,,,,,,,,,,,,0.0,0.0
753,sliggoo-hisui,10241,1,705,362,0,1.0,hisui,,40.0,,,,,,,,,,,,,,0.0,0.0
754,goodra,706,2,706,362,0,1.0,,,50.0,,,,,,,,,,,,,,1.0,0.0
755,goodra-hisui,10242,2,706,362,0,1.0,hisui,,50.0,,,,,,,,,,,,,,1.0,0.0
756,klefki,707,0,707,363,0,,,,,,,,,,,,,,,,,,,
757,phantump,708,0,708,364,0,,,,,,,,,,,,,,,,,,,
758,trevenant,709,1,709,364,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
759,pumpkaboo-average,710,0,710,365,0,,,,,,,,,,,,,,,,,,,
760,pumpkaboo-small,10027,0,710,365,0,,,,,,,,,,,,,,,,,,,
761,pumpkaboo-large,10028,0,710,365,0,,,,,,,,,,,,,,,,,,,
762,pumpkaboo-super,10029,0,710,365,0,,,,,,,,,,,,,,,,,,,
763,gourgeist-small,10030,1,711,365,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
764,gourgeist-super,10032,1,711,365,0,2.0,,,,,,,,,,,,,,,,,0.0,0.0
765,bergmite,712,0,712,366,0,,,,,,,,,,,,,,,,,,,
766,avalugg,713,1,713,366,0,1.0,,,37.0,,,,,,,,,,,,,,0.0,0.0
767,avalugg-hisui,10243,1,713,366,0,1.0,hisui,,37.0,,,,,,,,,,,,,,0.0,0.0
768,noibat,714,0,714,367,0,,,,,,,,,,,,,,,,,,,
769,noivern,715,1,715,367,0,1.0,,,48.0,,,,,,,,,,,,,,0.0,0.0
770,xerneas,716,0,716,368,0,,,,,,,,,,,,,,,,,,,
771,yveltal,717,0,717,369,0,,,,,,,,,,,,,,,,,,,
772,zygarde-50,718,0,718,370,0,,,,,,,,,,,,,,,,,,,
773,zygarde-10-power-construct,10118,0,718,370,0,,,,,,,,,,,,,,,,,,,
774,zygarde-50-power-construct,10119,0,718,370,0,,,,,,,,,,,,,,,,,,,
775,zygarde-complete,10120,0,718,370,0,,,,,,,,,,,,,,,,,,,
776,zygarde-10,10181,0,718,370,0,,,,,,,,,,,,,,,,,,,
777,diancie,719,0,719,371,0,,,,,,,,,,,,,,,,,,,
778,hoopa,720,0,720,372,0,,,,,,,,,,,,,,,,,,,
779,hoopa-unbound,10086,0,720,372,0,,,,,,,,,,,,,,,,,,,
780,volcanion,721,0,721,373,0,,,,,,,,,,,,,,,,,,,
781,rowlet,722,0,722,374,0,,,,,,,,,,,,,,,,,,,
782,dartrix,723,1,723,374,0,1.0,,,17.0,,,,,,,,,,,,,,0.0,0.0
783,decidueye,724,2,724,374,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
784,decidueye-hisui,10244,2,724,374,0,1.0,hisui,,34.0,,,,,,,,,,,,,,0.0,0.0
785,litten,725,0,725,375,0,,,,,,,,,,,,,,,,,,,
786,torracat,726,1,726,375,0,1.0,,,17.0,,,,,,,,,,,,,,0.0,0.0
787,incineroar,727,2,727,375,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
788,popplio,728,0,728,376,0,,,,,,,,,,,,,,,,,,,
789,brionne,729,1,729,376,0,1.0,,,17.0,,,,,,,,,,,,,,0.0,0.0
790,primarina,730,2,730,376,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
791,pikipek,731,0,731,377,0,,,,,,,,,,,,,,,,,,,
792,trumbeak,732,1,732,377,0,1.0,,,14.0,,,,,,,,,,,,,,0.0,0.0
793,toucannon,733,2,733,377,0,1.0,,,28.0,,,,,,,,,,,,,,0.0,0.0
794,yungoos,734,0,734,378,0,,,,,,,,,,,,,,,,,,,
795,gumshoos,735,1,735,378,0,1.0,,,20.0,,,,day,,,,,,,,,,0.0,0.0
796,grubbin,736,0,736,379,0,,,,,,,,,,,,,,,,,,,
797,charjabug,737,1,737,379,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
798,vikavolt,738,2,738,379,0,3.0,,83.0,,,,,,,,,,,,,,,0.0,0.0
799,crabrawler,739,0,739,380,0,,,,,,,,,,,,,,,,,,,
800,crabominable,740,1,740,380,0,1.0,,,,,775.0,,,,,,,,,,,,0.0,0.0
801,oricorio-baile,741,0,741,381,0,,,,,,,,,,,,,,,,,,,
802,oricorio-pom-pom,10123,0,741,381,0,,,,,,,,,,,,,,,,,,,
803,oricorio-pau,10124,0,741,381,0,,,,,,,,,,,,,,,,,,,
804,oricorio-sensu,10125,0,741,381,0,,,,,,,,,,,,,,,,,,,
805,cutiefly,742,0,742,382,0,,,,,,,,,,,,,,,,,,,
806,ribombee,743,1,743,382,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
807,rockruff,744,0,744,383,0,,,,,,,,,,,,,,,,,,,
808,lycanroc-midday,745,1,745,383,0,1.0,,,25.0,,,,day,,,,,,,,,,0.0,0.0
809,lycanroc-midnight,10126,1,745,383,0,1.0,,,25.0,,,,night,,,,,,,,,,0.0,0.0
810,lycanroc-dusk,10152,1,745,383,0,1.0,,,25.0,,,,dusk,,,,,,,,,,0.0,0.0
811,wishiwashi-solo,746,0,746,384,0,,,,,,,,,,,,,,,,,,,
812,wishiwashi-school,10127,0,746,384,0,,,,,,,,,,,,,,,,,,,
813,mareanie,747,0,747,385,0,,,,,,,,,,,,,,,,,,,
814,toxapex,748,1,748,385,0,1.0,,,38.0,,,,,,,,,,,,,,0.0,0.0
815,mudbray,749,0,749,386,0,,,,,,,,,,,,,,,,,,,
816,mudsdale,750,1,750,386,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
817,dewpider,751,0,751,387,0,,,,,,,,,,,,,,,,,,,
818,araquanid,752,1,752,387,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
819,fomantis,753,0,753,388,0,,,,,,,,,,,,,,,,,,,
820,lurantis,754,1,754,388,0,1.0,,,34.0,,,,day,,,,,,,,,,0.0,0.0
821,morelull,755,0,755,389,0,,,,,,,,,,,,,,,,,,,
822,shiinotic,756,1,756,389,0,1.0,,,24.0,,,,,,,,,,,,,,0.0,0.0
823,salandit,757,0,757,390,0,,,,,,,,,,,,,,,,,,,
824,salazzle,758,1,758,390,0,1.0,,,33.0,1.0,,,,,,,,,,,,,0.0,0.0
825,stufful,759,0,759,391,0,,,,,,,,,,,,,,,,,,,
826,bewear,760,1,760,391,0,1.0,,,27.0,,,,,,,,,,,,,,0.0,0.0
827,bounsweet,761,0,761,392,0,,,,,,,,,,,,,,,,,,,
828,steenee,762,1,762,392,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
829,tsareena,763,2,763,392,0,1.0,,,,,,,,23.0,,,,,,,,,0.0,0.0
830,comfey,764,0,764,393,0,,,,,,,,,,,,,,,,,,,
831,oranguru,765,0,765,394,0,,,,,,,,,,,,,,,,,,,
832,passimian,766,0,766,395,0,,,,,,,,,,,,,,,,,,,
833,wimpod,767,0,767,396,0,,,,,,,,,,,,,,,,,,,
834,golisopod,768,1,768,396,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
835,sandygast,769,0,769,397,0,,,,,,,,,,,,,,,,,,,
836,palossand,770,1,770,397,0,1.0,,,42.0,,,,,,,,,,,,,,0.0,0.0
837,pyukumuku,771,0,771,398,0,,,,,,,,,,,,,,,,,,,
838,type-null,772,0,772,399,0,,,,,,,,,,,,,,,,,,,
839,silvally,773,1,773,399,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
840,minior-red-meteor,774,0,774,400,0,,,,,,,,,,,,,,,,,,,
841,minior-orange-meteor,10130,0,774,400,0,,,,,,,,,,,,,,,,,,,
842,minior-yellow-meteor,10131,0,774,400,0,,,,,,,,,,,,,,,,,,,
843,minior-green-meteor,10132,0,774,400,0,,,,,,,,,,,,,,,,,,,
844,minior-blue-meteor,10133,0,774,400,0,,,,,,,,,,,,,,,,,,,
845,minior-indigo-meteor,10134,0,774,400,0,,,,,,,,,,,,,,,,,,,
846,minior-violet-meteor,10135,0,774,400,0,,,,,,,,,,,,,,,,,,,
847,minior-red,10136,0,774,400,0,,,,,,,,,,,,,,,,,,,
848,minior-orange,10137,0,774,400,0,,,,,,,,,,,,,,,,,,,
849,minior-yellow,10138,0,774,400,0,,,,,,,,,,,,,,,,,,,
850,minior-green,10139,0,774,400,0,,,,,,,,,,,,,,,,,,,
851,minior-blue,10140,0,774,400,0,,,,,,,,,,,,,,,,,,,
852,minior-indigo,10141,0,774,400,0,,,,,,,,,,,,,,,,,,,
853,minior-violet,10142,0,774,400,0,,,,,,,,,,,,,,,,,,,
854,komala,775,0,775,401,0,,,,,,,,,,,,,,,,,,,
855,turtonator,776,0,776,402,0,,,,,,,,,,,,,,,,,,,
856,togedemaru,777,0,777,403,0,,,,,,,,,,,,,,,,,,,
857,mimikyu-disguised,778,0,778,404,0,,,,,,,,,,,,,,,,,,,
858,mimikyu-busted,10143,0,778,404,0,,,,,,,,,,,,,,,,,,,
859,bruxish,779,0,779,405,0,,,,,,,,,,,,,,,,,,,
860,drampa,780,0,780,406,0,,,,,,,,,,,,,,,,,,,
861,dhelmise,781,0,781,407,0,,,,,,,,,,,,,,,,,,,
862,jangmo-o,782,0,782,408,0,,,,,,,,,,,,,,,,,,,
863,hakamo-o,783,1,783,408,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
864,kommo-o,784,2,784,408,0,1.0,,,45.0,,,,,,,,,,,,,,0.0,0.0
865,tapu-koko,785,0,785,409,0,,,,,,,,,,,,,,,,,,,
866,tapu-lele,786,0,786,410,0,,,,,,,,,,,,,,,,,,,
867,tapu-bulu,787,0,787,411,0,,,,,,,,,,,,,,,,,,,
868,tapu-fini,788,0,788,412,0,,,,,,,,,,,,,,,,,,,
869,cosmog,789,0,789,413,0,,,,,,,,,,,,,,,,,,,
870,cosmoem,790,1,790,413,0,1.0,,,43.0,,,,,,,,,,,,,,0.0,0.0
871,solgaleo,791,2,791,413,1,1.0,,,53.0,,,,,,,,,,,,,,0.0,0.0
872,lunala,792,2,792,413,1,1.0,,,53.0,,,,,,,,,,,,,,0.0,0.0
873,nihilego,793,0,793,414,0,,,,,,,,,,,,,,,,,,,
874,buzzwole,794,0,794,415,0,,,,,,,,,,,,,,,,,,,
875,pheromosa,795,0,795,416,0,,,,,,,,,,,,,,,,,,,
876,xurkitree,796,0,796,417,0,,,,,,,,,,,,,,,,,,,
877,celesteela,797,0,797,418,0,,,,,,,,,,,,,,,,,,,
878,kartana,798,0,798,419,0,,,,,,,,,,,,,,,,,,,
879,guzzlord,799,0,799,420,0,,,,,,,,,,,,,,,,,,,
880,necrozma,800,0,800,421,0,,,,,,,,,,,,,,,,,,,
881,necrozma-dusk,10155,0,800,421,0,,,,,,,,,,,,,,,,,,,
882,necrozma-dawn,10156,0,800,421,0,,,,,,,,,,,,,,,,,,,
883,necrozma-ultra,10157,0,800,421,0,,,,,,,,,,,,,,,,,,,
884,magearna,801,0,801,422,0,,,,,,,,,,,,,,,,,,,
885,magearna-original,10147,0,801,422,0,,,,,,,,,,,,,,,,,,,
886,marshadow,802,0,802,423,0,,,,,,,,,,,,,,,,,,,
887,poipole,803,0,803,424,0,,,,,,,,,,,,,,,,,,,
888,naganadel,804,1,804,424,0,1.0,,,,,,,,406.0,,,,,,,,,0.0,0.0
889,stakataka,805,0,805,425,0,,,,,,,,,,,,,,,,,,,
890,blacephalon,806,0,806,426,0,,,,,,,,,,,,,,,,,,,
891,zeraora,807,0,807,427,0,,,,,,,,,,,,,,,,,,,
892,meltan,808,0,808,428,0,,,,,,,,,,,,,,,,,,,
893,grookey,810,0,810,430,0,,,,,,,,,,,,,,,,,,,
894,thwackey,811,1,811,430,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
895,rillaboom,812,2,812,430,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
896,scorbunny,813,0,813,431,0,,,,,,,,,,,,,,,,,,,
897,raboot,814,1,814,431,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
898,cinderace,815,2,815,431,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
899,sobble,816,0,816,432,0,,,,,,,,,,,,,,,,,,,
900,drizzile,817,1,817,432,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
901,inteleon,818,2,818,432,0,1.0,,,35.0,,,,,,,,,,,,,,0.0,0.0
902,skwovet,819,0,819,433,0,,,,,,,,,,,,,,,,,,,
903,greedent,820,1,820,433,0,1.0,,,24.0,,,,,,,,,,,,,,0.0,0.0
904,rookidee,821,0,821,434,0,,,,,,,,,,,,,,,,,,,
905,corvisquire,822,1,822,434,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
906,corviknight,823,2,823,434,0,1.0,,,38.0,,,,,,,,,,,,,,0.0,0.0
907,blipbug,824,0,824,435,0,,,,,,,,,,,,,,,,,,,
908,dottler,825,1,825,435,0,1.0,,,10.0,,,,,,,,,,,,,,0.0,0.0
909,orbeetle,826,2,826,435,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
910,nickit,827,0,827,436,0,,,,,,,,,,,,,,,,,,,
911,thievul,828,1,828,436,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
912,gossifleur,829,0,829,437,0,,,,,,,,,,,,,,,,,,,
913,eldegoss,830,1,830,437,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
914,wooloo,831,0,831,438,0,,,,,,,,,,,,,,,,,,,
915,dubwool,832,1,832,438,0,1.0,,,24.0,,,,,,,,,,,,,,0.0,0.0
916,chewtle,833,0,833,439,0,,,,,,,,,,,,,,,,,,,
917,drednaw,834,1,834,439,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
918,yamper,835,0,835,440,0,,,,,,,,,,,,,,,,,,,
919,boltund,836,1,836,440,0,1.0,,,25.0,,,,,,,,,,,,,,0.0,0.0
920,rolycoly,837,0,837,441,0,,,,,,,,,,,,,,,,,,,
921,carkol,838,1,838,441,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
922,coalossal,839,2,839,441,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
923,applin,840,0,840,442,0,,,,,,,,,,,,,,,,,,,
924,flapple,841,1,841,442,1,3.0,,1175.0,,,,,,,,,,,,,,,0.0,0.0
925,appletun,842,1,842,442,1,3.0,,1174.0,,,,,,,,,,,,,,,0.0,0.0
926,silicobra,843,0,843,443,0,,,,,,,,,,,,,,,,,,,
927,sandaconda,844,1,844,443,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
928,cramorant,845,0,845,444,0,,,,,,,,,,,,,,,,,,,
929,cramorant-gulping,10182,0,845,444,0,,,,,,,,,,,,,,,,,,,
930,cramorant-gorging,10183,0,845,444,0,,,,,,,,,,,,,,,,,,,
931,arrokuda,846,0,846,445,0,,,,,,,,,,,,,,,,,,,
932,barraskewda,847,1,847,445,0,1.0,,,26.0,,,,,,,,,,,,,,0.0,0.0
933,toxel,848,0,848,446,0,,,,,,,,,,,,,,,,,,,
934,toxtricity-amped,849,1,849,446,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
935,toxtricity-low-key,10184,1,849,446,0,1.0,,,30.0,,,,,,,,,,,,,,0.0,0.0
936,sizzlipede,850,0,850,447,0,,,,,,,,,,,,,,,,,,,
937,centiskorch,851,1,851,447,0,1.0,,,28.0,,,,,,,,,,,,,,0.0,0.0
938,clobbopus,852,0,852,448,0,,,,,,,,,,,,,,,,,,,
939,grapploct,853,1,853,448,0,1.0,,,,,,,,269.0,,,,,,,,,0.0,0.0
940,sinistea,854,0,854,449,0,,,,,,,,,,,,,,,,,,,
941,polteageist,855,1,855,449,0,3.0,,1311.0,,,,,,,,,,,,,,,0.0,0.0
942,hatenna,856,0,856,450,0,,,,,,,,,,,,,,,,,,,
943,hattrem,857,1,857,450,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
944,hatterene,858,2,858,450,0,1.0,,,42.0,,,,,,,,,,,,,,0.0,0.0
945,impidimp,859,0,859,451,0,,,,,,,,,,,,,,,,,,,
946,morgrem,860,1,860,451,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
947,grimmsnarl,861,2,861,451,0,1.0,,,42.0,,,,,,,,,,,,,,0.0,0.0
948,milcery,868,0,868,452,0,,,,,,,,,,,,,,,,,,,
949,alcremie,869,1,869,452,0,5.0,,,,,,,,,,,,,,,,,0.0,0.0
950,falinks,870,0,870,453,0,,,,,,,,,,,,,,,,,,,
951,pincurchin,871,0,871,454,0,,,,,,,,,,,,,,,,,,,
952,snom,872,0,872,455,0,,,,,,,,,,,,,,,,,,,
953,frosmoth,873,1,873,455,0,1.0,,,,,,,night,,,160.0,,,,,,,0.0,0.0
954,stonjourner,874,0,874,456,0,,,,,,,,,,,,,,,,,,,
955,eiscue-ice,875,0,875,457,0,,,,,,,,,,,,,,,,,,,
956,eiscue-noice,10185,0,875,457,0,,,,,,,,,,,,,,,,,,,
957,indeedee-male,876,0,876,458,0,,,,,,,,,,,,,,,,,,,
958,indeedee-female,10186,0,876,458,0,,,,,,,,,,,,,,,,,,,
959,morpeko-full-belly,877,0,877,459,0,,,,,,,,,,,,,,,,,,,
960,morpeko-hangry,10187,0,877,459,0,,,,,,,,,,,,,,,,,,,
961,cufant,878,0,878,460,0,,,,,,,,,,,,,,,,,,,
962,copperajah,879,1,879,460,0,1.0,,,34.0,,,,,,,,,,,,,,0.0,0.0
963,dracozolt,880,0,880,461,0,,,,,,,,,,,,,,,,,,,
964,arctozolt,881,0,881,462,0,,,,,,,,,,,,,,,,,,,
965,dracovish,882,0,882,463,0,,,,,,,,,,,,,,,,,,,
966,arctovish,883,0,883,464,0,,,,,,,,,,,,,,,,,,,
967,duraludon,884,0,884,465,0,,,,,,,,,,,,,,,,,,,
968,dreepy,885,0,885,466,0,,,,,,,,,,,,,,,,,,,
969,drakloak,886,1,886,466,0,1.0,,,50.0,,,,,,,,,,,,,,0.0,0.0
970,dragapult,887,2,887,466,0,1.0,,,60.0,,,,,,,,,,,,,,0.0,0.0
971,zacian,888,0,888,467,0,,,,,,,,,,,,,,,,,,,
972,zacian-crowned,10188,0,888,467,0,,,,,,,,,,,,,,,,,,,
973,zamazenta,889,0,889,468,0,,,,,,,,,,,,,,,,,,,
974,zamazenta-crowned,10189,0,889,468,0,,,,,,,,,,,,,,,,,,,
975,eternatus,890,0,890,469,0,,,,,,,,,,,,,,,,,,,
976,kubfu,891,0,891,470,0,,,,,,,,,,,,,,,,,,,
977,urshifu-single-strike,892,1,892,470,0,6.0,,,,,,,,,,,,,,,,,0.0,0.0
978,urshifu-rapid-strike,10191,1,892,470,0,7.0,,,,,,,,,,,,,,,,,0.0,0.0
979,zarude,893,0,893,471,0,,,,,,,,,,,,,,,,,,,
980,regieleki,894,0,894,472,0,,,,,,,,,,,,,,,,,,,
981,regidrago,895,0,895,473,0,,,,,,,,,,,,,,,,,,,
982,glastrier,896,0,896,474,0,,,,,,,,,,,,,,,,,,,
983,spectrier,897,0,897,475,0,,,,,,,,,,,,,,,,,,,
984,calyrex,898,0,898,476,0,,,,,,,,,,,,,,,,,,,
